,Company Name,Form Type,CIK,Date Filed,URL
0,AFLAC INC,10-K,4977,20190225,http://www.sec.gov/Archives/edgar/data/4977/0000004977-19-000049-index.htm
1,ALDER BIOPHARMACEUTICALS INC,10-K,1423824,20190225,http://www.sec.gov/Archives/edgar/data/1423824/0001564590-19-004084-index.htm
2,ALIMERA SCIENCES INC,10-K,1267602,20190225,http://www.sec.gov/Archives/edgar/data/1267602/0001267602-19-000043-index.htm
3,AMERICAN AIRLINES INC,10-K,4515,20190225,http://www.sec.gov/Archives/edgar/data/4515/0000006201-19-000009-index.htm
4,AMERICAN STATES WATER CO,10-K,1056903,20190225,http://www.sec.gov/Archives/edgar/data/1056903/0001056903-19-000004-index.htm
5,ARMSTRONG WORLD INDUSTRIES INC,10-K,7431,20190225,http://www.sec.gov/Archives/edgar/data/7431/0001564590-19-003978-index.htm
6,American Airlines Group Inc.,10-K,6201,20190225,http://www.sec.gov/Archives/edgar/data/6201/0000006201-19-000009-index.htm
7,"Apple Hospitality REIT, Inc.",10-K,1418121,20190225,http://www.sec.gov/Archives/edgar/data/1418121/0001185185-19-000277-index.htm
8,"BAB, INC.",10-K,1123596,20190225,http://www.sec.gov/Archives/edgar/data/1123596/0001437749-19-003265-index.htm
9,BERKSHIRE HATHAWAY ENERGY CO,10-K,1081316,20190225,http://www.sec.gov/Archives/edgar/data/1081316/0001081316-19-000003-index.htm
10,BERKSHIRE HATHAWAY INC,10-K,1067983,20190225,http://www.sec.gov/Archives/edgar/data/1067983/0001193125-19-048926-index.htm
11,BRISTOL MYERS SQUIBB CO,10-K,14272,20190225,http://www.sec.gov/Archives/edgar/data/14272/0000014272-19-000047-index.htm
12,"BURLINGTON NORTHERN SANTA FE, LLC",10-K,934612,20190225,http://www.sec.gov/Archives/edgar/data/934612/0000934612-19-000005-index.htm
13,"BWX Technologies, Inc.",10-K,1486957,20190225,http://www.sec.gov/Archives/edgar/data/1486957/0001486957-19-000005-index.htm
14,Biglari Holdings Inc.,10-K,1726173,20190225,http://www.sec.gov/Archives/edgar/data/1726173/0001193805-19-000242-index.htm
15,"Blue Apron Holdings, Inc.",10-K,1701114,20190225,http://www.sec.gov/Archives/edgar/data/1701114/0001558370-19-001009-index.htm
16,C H ROBINSON WORLDWIDE INC,10-K,1043277,20190225,http://www.sec.gov/Archives/edgar/data/1043277/0001043277-19-000006-index.htm
17,CARTERS INC,10-K,1060822,20190225,http://www.sec.gov/Archives/edgar/data/1060822/0001060822-19-000004-index.htm
18,CC Holdings GS V LLC,10-K,1574291,20190225,http://www.sec.gov/Archives/edgar/data/1574291/0001574291-19-000008-index.htm
19,"CHEGG, INC",10-K,1364954,20190225,http://www.sec.gov/Archives/edgar/data/1364954/0001364954-19-000027-index.htm
20,CONMED CORP,10-K,816956,20190225,http://www.sec.gov/Archives/edgar/data/816956/0000816956-19-000003-index.htm
21,CRAWFORD & CO,10-K,25475,20190225,http://www.sec.gov/Archives/edgar/data/25475/0000025475-19-000048-index.htm
22,CRISPR Therapeutics AG,10-K,1674416,20190225,http://www.sec.gov/Archives/edgar/data/1674416/0001564590-19-004115-index.htm
23,CROWN CASTLE INTERNATIONAL CORP,10-K,1051470,20190225,http://www.sec.gov/Archives/edgar/data/1051470/0001051470-19-000046-index.htm
24,"Centennial Resource Development, Inc.",10-K,1658566,20190225,http://www.sec.gov/Archives/edgar/data/1658566/0001658566-19-000028-index.htm
25,Chatham Lodging Trust,10-K,1476045,20190225,http://www.sec.gov/Archives/edgar/data/1476045/0001476045-19-000029-index.htm
26,Cooper-Standard Holdings Inc.,10-K,1320461,20190225,http://www.sec.gov/Archives/edgar/data/1320461/0001320461-19-000009-index.htm
27,"CoreCivic, Inc.",10-K,1070985,20190225,http://www.sec.gov/Archives/edgar/data/1070985/0001564590-19-004033-index.htm
28,"DCP Midstream, LP",10-K,1338065,20190225,http://www.sec.gov/Archives/edgar/data/1338065/0001338065-19-000006-index.htm
29,DENNYS CORP,10-K,852772,20190225,http://www.sec.gov/Archives/edgar/data/852772/0000852772-19-000021-index.htm
30,"DROPBOX, INC.",10-K,1467623,20190225,http://www.sec.gov/Archives/edgar/data/1467623/0001467623-19-000005-index.htm
