,Unnamed: 0,Company Name,Form Type,CIK,Date Filed,URL,EX21
0,0,AFLAC INC,10-K,4977,20190225,http://www.sec.gov/Archives/edgar/data/4977/0000004977-19-000049-index.htm,/Archives/edgar/data/4977/000000497719000049/afl123118ex21.htm
2,2,ALIMERA SCIENCES INC,10-K,1267602,20190225,http://www.sec.gov/Archives/edgar/data/1267602/0001267602-19-000043-index.htm,/Archives/edgar/data/1267602/000126760219000043/exhibit211.htm
3,3,AMERICAN AIRLINES INC,10-K,4515,20190225,http://www.sec.gov/Archives/edgar/data/4515/0000006201-19-000009-index.htm,/Archives/edgar/data/4515/000000620119000009/ex21110k2018.htm
4,4,AMERICAN STATES WATER CO,10-K,1056903,20190225,http://www.sec.gov/Archives/edgar/data/1056903/0001056903-19-000004-index.htm,/Archives/edgar/data/92116/000105690319000004/exhibit21subsidiariesofawr.htm
5,5,ARMSTRONG WORLD INDUSTRIES INC,10-K,7431,20190225,http://www.sec.gov/Archives/edgar/data/7431/0001564590-19-003978-index.htm,/Archives/edgar/data/7431/000156459019003978/awi-ex21_9.htm
6,6,American Airlines Group Inc.,10-K,6201,20190225,http://www.sec.gov/Archives/edgar/data/6201/0000006201-19-000009-index.htm,/Archives/edgar/data/4515/000000620119000009/ex21110k2018.htm
7,7,"Apple Hospitality REIT, Inc.",10-K,1418121,20190225,http://www.sec.gov/Archives/edgar/data/1418121/0001185185-19-000277-index.htm,/Archives/edgar/data/1418121/000118518519000277/ex_135028.htm
8,8,"BAB, INC.",10-K,1123596,20190225,http://www.sec.gov/Archives/edgar/data/1123596/0001437749-19-003265-index.htm,/Archives/edgar/data/1123596/000143774919003265/ex_135348.htm
9,9,BERKSHIRE HATHAWAY ENERGY CO,10-K,1081316,20190225,http://www.sec.gov/Archives/edgar/data/1081316/0001081316-19-000003-index.htm,/Archives/edgar/data/71180/000108131619000003/bhe123118ex211.htm
10,10,BERKSHIRE HATHAWAY INC,10-K,1067983,20190225,http://www.sec.gov/Archives/edgar/data/1067983/0001193125-19-048926-index.htm,/Archives/edgar/data/1067983/000119312519048926/d678758dex21.htm
11,11,BRISTOL MYERS SQUIBB CO,10-K,14272,20190225,http://www.sec.gov/Archives/edgar/data/14272/0000014272-19-000047-index.htm,/Archives/edgar/data/14272/000001427219000047/exhibit21subsidiaries2018.htm
13,13,"BWX Technologies, Inc.",10-K,1486957,20190225,http://www.sec.gov/Archives/edgar/data/1486957/0001486957-19-000005-index.htm,/Archives/edgar/data/1486957/000148695719000005/exhibit211_123118x10k.htm
14,14,Biglari Holdings Inc.,10-K,1726173,20190225,http://www.sec.gov/Archives/edgar/data/1726173/0001193805-19-000242-index.htm,/Archives/edgar/data/1726173/000119380519000242/ex21011to10k07428001_022519.htm
16,16,C H ROBINSON WORLDWIDE INC,10-K,1043277,20190225,http://www.sec.gov/Archives/edgar/data/1043277/0001043277-19-000006-index.htm,/Archives/edgar/data/1043277/000104327719000006/exhibit212018.htm
17,17,CARTERS INC,10-K,1060822,20190225,http://www.sec.gov/Archives/edgar/data/1060822/0001060822-19-000004-index.htm,/Archives/edgar/data/1060822/000106082219000004/listofsubs2018exh210.htm
19,19,"CHEGG, INC",10-K,1364954,20190225,http://www.sec.gov/Archives/edgar/data/1364954/0001364954-19-000027-index.htm,/Archives/edgar/data/1364954/000136495419000027/ex21012018-12x31.htm
20,20,CONMED CORP,10-K,816956,20190225,http://www.sec.gov/Archives/edgar/data/816956/0000816956-19-000003-index.htm,/Archives/edgar/data/816956/000081695619000003/exhibit212018.htm
21,21,CRAWFORD & CO,10-K,25475,20190225,http://www.sec.gov/Archives/edgar/data/25475/0000025475-19-000048-index.htm,/Archives/edgar/data/25475/000002547519000048/exhibit211-123118.htm
22,22,CRISPR Therapeutics AG,10-K,1674416,20190225,http://www.sec.gov/Archives/edgar/data/1674416/0001564590-19-004115-index.htm,/Archives/edgar/data/1674416/000156459019004115/crsp-ex211_6.htm
23,23,CROWN CASTLE INTERNATIONAL CORP,10-K,1051470,20190225,http://www.sec.gov/Archives/edgar/data/1051470/0001051470-19-000046-index.htm,/Archives/edgar/data/1051470/000105147019000046/ex-21123118.htm
25,25,Chatham Lodging Trust,10-K,1476045,20190225,http://www.sec.gov/Archives/edgar/data/1476045/0001476045-19-000029-index.htm,/Archives/edgar/data/1476045/000147604519000029/cldtex211listofsubsidi.htm
26,26,Cooper-Standard Holdings Inc.,10-K,1320461,20190225,http://www.sec.gov/Archives/edgar/data/1320461/0001320461-19-000009-index.htm,/Archives/edgar/data/1320461/000132046119000009/exhibit-211december2018.htm
27,27,"CoreCivic, Inc.",10-K,1070985,20190225,http://www.sec.gov/Archives/edgar/data/1070985/0001564590-19-004033-index.htm,/Archives/edgar/data/1070985/000156459019004033/cxw-ex211_8.htm
28,28,"DCP Midstream, LP",10-K,1338065,20190225,http://www.sec.gov/Archives/edgar/data/1338065/0001338065-19-000006-index.htm,/Archives/edgar/data/1338065/000133806519000006/dpm-20181231xexhibit211.htm
29,29,DENNYS CORP,10-K,852772,20190225,http://www.sec.gov/Archives/edgar/data/852772/0000852772-19-000021-index.htm,/Archives/edgar/data/852772/000085277219000021/q42018ex211.htm
31,31,"Diamondback Energy, Inc.",10-K,1539838,20190225,http://www.sec.gov/Archives/edgar/data/1539838/0001539838-19-000008-index.htm,/Archives/edgar/data/1539838/000153983819000008/diamondback201810-kxex211.htm
32,32,"Digital Realty Trust, Inc.",10-K,1297996,20190225,http://www.sec.gov/Archives/edgar/data/1297996/0001297996-19-000032-index.htm,/Archives/edgar/data/1297996/000129799619000032/dlr10kex211_2018ss1.htm
33,33,"Digital Realty Trust, L.P.",10-K,1494877,20190225,http://www.sec.gov/Archives/edgar/data/1494877/0001297996-19-000032-index.htm,/Archives/edgar/data/1297996/000129799619000032/dlr10kex211_2018ss1.htm
35,35,"ENPRO INDUSTRIES, INC",10-K,1164863,20190225,http://www.sec.gov/Archives/edgar/data/1164863/0001164863-19-000007-index.htm,/Archives/edgar/data/1164863/000116486319000007/npo-10kx12x312018ex21.htm
36,36,FRANK'S INTERNATIONAL N.V.,10-K,1575828,20190225,http://www.sec.gov/Archives/edgar/data/1575828/0001575828-19-000007-index.htm,/Archives/edgar/data/1575828/000157582819000007/fi_12312018xex211.htm
37,37,"FireEye, Inc.",10-K,1370880,20190225,http://www.sec.gov/Archives/edgar/data/1370880/0001370880-19-000006-index.htm,/Archives/edgar/data/1370880/000137088019000006/exhibit21120181231-10k.htm
38,38,"Five9, Inc.",10-K,1288847,20190225,http://www.sec.gov/Archives/edgar/data/1288847/0001288847-19-000021-index.htm,/Archives/edgar/data/1288847/000128884719000021/a123118exhibit211.htm
40,40,"Fortune Brands Home & Security, Inc.",10-K,1519751,20190225,http://www.sec.gov/Archives/edgar/data/1519751/0001193125-19-049951-index.htm,/Archives/edgar/data/1519751/000119312519049951/d654795dex21.htm
41,41,GATX CORP,10-K,40211,20190225,http://www.sec.gov/Archives/edgar/data/40211/0000040211-19-000020-index.htm,/Archives/edgar/data/40211/000004021119000020/gatx-20181231xexhibit21.htm
42,42,GENUINE PARTS CO,10-K,40987,20190225,http://www.sec.gov/Archives/edgar/data/40987/0000040987-19-000015-index.htm,/Archives/edgar/data/40987/000004098719000015/subsidiariesofthecompany20.htm
43,43,GEO GROUP INC,10-K,923796,20190225,http://www.sec.gov/Archives/edgar/data/923796/0001193125-19-050054-index.htm,/Archives/edgar/data/923796/000119312519050054/d663410dex211.htm
44,44,GLATFELTER P H CO,10-K,41719,20190225,http://www.sec.gov/Archives/edgar/data/41719/0001564590-19-004077-index.htm,/Archives/edgar/data/41719/000156459019004077/glt-ex21_12.htm
46,46,Golden State Water CO,10-K,92116,20190225,http://www.sec.gov/Archives/edgar/data/92116/0001056903-19-000004-index.htm,/Archives/edgar/data/92116/000105690319000004/exhibit21subsidiariesofawr.htm
